TempOut;OutHum;SolarRad
27.5;79;0
26.9;80;0
26.4;81;0
26.1;82;0
25.8;82;0
25.6;83;0
25.4;83;0
25.2;84;0
25.2;84;0
25.1;84;0
25.1;85;0
25;85;0
24.9;85;0
24.9;85;0
24.9;85;0
24.8;86;0
24.8;86;0
24.8;86;0
24.8;86;0
24.8;86;0
24.8;86;0
24.8;86;0
24.8;87;0
24.8;87;0
24.8;87;0
24.8;87;0
24.7;87;0
24.7;87;0
24.7;87;0
24.7;87;0
24.7;87;0
24.7;87;0
24.6;87;0
24.6;87;0
24.6;87;0
24.5;87;0
24.5;87;0
24.4;87;0
24.4;87;0
24.4;87;0
24.4;87;0
24.4;87;0
24.4;87;0
24.4;87;0
24.4;87;0
24.4;88;0
24.4;88;0
24.4;87;0
24.3;87;0
24.3;87;0
24.3;87;0
24.3;86;0
24.3;86;0
24.3;86;0
24.3;86;0
24.3;86;0
24.4;87;0
24.4;87;0
24.5;87;0
24.6;88;0
24.6;88;0
24.7;88;0
24.7;90;0
25.6;88;0
25.9;87;0
26.1;87;0
28.4;74;98
28.6;75;90
28.7;75;81
28.4;76;77
28.5;77;73
27.9;78;200
27.9;77;476
27.9;77;614
27.8;77;735
28.1;77;873
28.3;76;471
28.4;78;716
28.8;76;1040
29.7;73;1198
29.2;75;399
29.2;75;480
29.1;73;480
29;73;480
28.9;75;480
28.8;73;740
28.8;72;803
28.7;73;803
28.7;73;803
27.7;77;362
29.1;72;844
28.4;74;367
29.3;79;605
30.3;73;937
30.7;66;1013
30.6;66;972
30.8;66;929
29.7;70;736
30.2;67;917
30.3;65;794
30.7;67;750
29.8;69;383
29.3;71;183
28.7;76;70
28.2;80;97
27.4;81;137
26.6;85;83
26.3;87;36
26.2;84;14
25.6;84;14
25.2;87;15
24.3;92;10
24.1;94;2
24.1;94;0
24;95;0
23.8;95;0
23.8;95;0
23.8;95;0
23.7;96;0
23.7;96;0
23.6;95;0
23.3;95;0
23.2;95;0
23.2;96;0
23.3;96;0
23.3;95;0
23.4;95;0
23.3;96;0
23.2;96;0
23;96;0
22.9;97;0
22.8;97;0
22.8;97;0
22.6;97;0
22.6;96;0
22.5;97;0
22.5;96;0
22.3;96;0
22.3;96;0
22.4;96;0
22.5;95;0
22.1;96;0
22.1;96;0
21.9;96;0
22.1;96;0
21.8;96;0
21.8;96;0
22;95;0
21.9;95;0
21.9;95;0
21.9;95;0
21.7;96;0
21.4;97;0
21.3;97;0
21.2;96;0
21.2;96;0
21.2;97;0
21.3;96;0
20.9;97;0
21;97;0
21.3;97;0
21.2;97;6
21.1;97;18
21.4;96;24
21.9;96;32
22.6;95;43
23.3;92;51
24.1;89;56
25.1;84;76
25.7;82;440
26.4;81;540
26.9;82;616
26.9;80;673
27.8;78;752
27.9;78;814
28;77;827
28.4;75;904
29;77;933
29.2;73;980
29.1;75;733
29.8;71;1123
28.9;73;822
30.6;69;1044
31.2;71;1035
30.6;65;925
30;69;1026
29.8;67;861
31.6;61;1104
30.4;63;1079
30;66;666
30.1;64;665
31.5;66;954
30;66;472
30.9;67;771
29.9;69;630
26.6;81;150
26.2;81;172
27.2;78;115
26.1;82;98
25.4;88;46
25.3;90;56
25.3;91;70
24.8;90;80
25.1;90;83
24.7;90;72
24.9;93;55
25.1;91;35
24.9;92;18
24.8;93;4
24.3;94;0
24.2;95;0
24.2;95;0
24.2;95;0
23.9;96;0
23.8;96;0
23.7;95;0
23.6;95;0
23.6;95;0
23.6;96;0
23.5;96;0
23.4;96;0
23.3;94;0
23.1;95;0
22.9;96;0
23.1;96;0
23.2;96;0
23.2;96;0
23.3;96;0
22.9;96;0
22.9;97;0
22.9;97;0
22.9;96;0
22.8;97;0
23.1;96;0
22.7;95;0
22.5;97;0
22.5;97;0
22.5;97;0
22.6;97;0
22.3;97;0
22.1;98;0
22.1;98;0
22.1;98;0
22;97;0
22.3;97;0
22.1;97;0
21.9;97;0
21.9;97;0
21.8;97;0
21.9;97;0
22.1;97;0
21.8;97;0
21.7;98;0
22.1;97;0
21.8;97;0
21.8;97;0
21.5;97;0
21.6;97;5
22.3;95;14
22.4;97;26
22.8;96;51
23.9;93;61
24.4;90;84
24.9;89;118
24.8;89;139
25.2;87;229
25.3;87;337
25.9;86;414
26.2;84;402
27.3;81;621
27.1;82;773
27.3;81;560
27.5;83;661
28;80;722
27.4;80;581
27.8;79;751
28.4;77;617
27.7;78;408
28.1;75;755
29.2;74;1214
29.8;69;1016
28.9;74;776
29.1;72;540
30.8;65;1016
30.4;68;993
30.8;69;919
30.3;67;882
29.7;68;606
29.8;75;494
29.4;76;558
28.5;78;365
28.3;80;384
27.6;82;137
26.8;85;93
26.7;86;113
26.3;87;115
26.9;87;168
27.3;83;169
26.9;85;136
26.9;84;142
26.7;85;89
26.2;88;66
25.8;89;47
25.3;90;19
24.7;95;6
24.6;95;0
24.3;95;0
24;94;0
23.7;95;0
23.6;96;0
23.6;97;0
23.6;96;0
23.6;97;0
23.4;96;0
23.6;97;0
23.6;96;0
23.6;97;0
23.4;96;0
23.4;97;0
23.4;96;0
23.2;97;0
23.1;97;0
23.3;98;0
23.2;97;0
23.3;98;0
23.3;98;0
23.3;98;0
23.2;97;0
23.3;98;0
23.3;98;0
23.3;98;0
23.3;98;0
23.3;98;0
23.3;98;0
23.3;98;0
23.2;98;0
22.9;98;0
22.7;98;0
22.6;98;0
22.4;98;0
22.4;98;0
22.4;98;0
22.4;98;0
22.4;98;0
22.2;98;0
22.2;98;0
22.3;98;0
22.1;98;0
21.9;98;0
21.9;98;0
22;98;0
21.9;98;0
21.9;98;0
22;98;2
22.3;98;25
22.7;99;71
22.9;99;86
23.1;98;68
23.3;98;40
23.3;98;50
23.5;98;91
24.2;96;213
24.5;94;241
25;92;290
25.4;93;359
25.2;91;316
26.1;88;497
25.5;89;208
25.8;87;333
25.7;89;263
26;86;379
26.9;82;699
26.9;83;448
27.8;81;758
27.2;84;423
27.1;86;419
27.1;82;445
26.9;82;500
27.1;81;520
27.4;82;542
27.1;81;375
26.7;83;303
26.4;84;265
25.5;89;109
25.3;89;91
25.4;88;132
24.9;89;166
25.1;89;202
25.2;89;185
25.2;89;164
25;89;146
24.9;89;151
25.2;89;148
24.9;89;130
24.9;90;111
24.8;90;81
24.7;91;56
24.6;91;45
24.6;91;24
24.4;93;8
24;94;0
23.7;94;0
23.6;95;0
23.6;95;0
23.5;95;0
23.2;97;0
23;96;0
22.7;96;0
22.4;97;0
22.4;97;0
22.4;98;0
22.3;97;0
22.4;97;0
22.3;97;0
22.3;98;0
22.3;97;0
22.3;98;0
22.4;98;0
22.4;98;0
22.3;98;0
22.3;98;0
22.3;98;0
22.3;98;0
22.2;98;0
22.2;98;0
22.2;98;0
22.1;98;0
22.1;98;0
22;98;0
22;98;0
22.1;98;0
22;98;0
21.9;98;0
22.1;98;0
22.1;98;0
21.9;98;0
21.9;98;0
21.8;98;0
21.8;98;0
21.8;98;0
21.9;98;0
22.1;98;0
22.1;98;0
22;98;0
21.9;98;0
22;98;0
21.8;98;0
21.9;98;0
22.1;98;0
22.1;98;3
22.2;99;18
22.1;99;37
22.3;99;55
22.5;98;78
22.9;98;96
23.2;97;104
23.4;97;140
23.7;96;196
24.3;95;319
24.4;92;427
25.3;89;549
26.2;86;619
26.2;88;552
26.6;85;571
26.9;77;748
27.1;80;718
27.3;76;735
27.4;75;782
27.4;77;592
27.3;73;729
27.4;77;628
27.9;74;780
27.9;73;1001
27.7;71;914
27.3;75;435
27.7;73;474
28.6;73;727
27.9;75;668
28.1;74;486
27.9;72;408
28.1;75;471
27.9;72;539
28.4;72;675
28;76;446
27.6;75;342
27.8;76;410
26.9;81;220
26.4;84;178
26.1;84;120
26.1;85;90
26.2;85;148
25.6;87;107
25.4;87;87
25.1;89;47
24.8;90;25
24.6;90;11
24.2;90;1
23.9;91;0
23.9;90;0
23.8;90;0
23.7;91;0
23.6;93;0
23.4;93;0
23.1;95;0
22.9;96;0
22.8;96;0
22.7;96;0
22.6;97;0
22.6;97;0
22.3;97;0
22.4;97;0
22.4;97;0
22.4;97;0
22.3;97;0
22.3;97;0
22.3;96;0
22.2;97;0
22.1;97;0
22.1;98;0
22;97;0
21.8;98;0
21.9;97;0
21.8;98;0
21.9;97;0
22.1;97;0
22.3;96;0
22.3;96;0
21.9;97;0
21.9;97;0
21.9;97;0
21.7;97;0
21.6;98;0
21.7;98;0
21.9;97;0
22.3;97;0
22.3;97;0
21.9;97;0
21.5;97;0
21.3;98;0
21.3;98;0
21.3;98;0
21.7;98;0
22.1;98;0
21.8;97;0
21.5;98;0
21.8;98;5
21.8;98;12
21.9;98;30
22.3;97;54
22.9;97;65
23.6;95;77
24.1;93;102
24.8;90;168
25.6;90;484
26.1;88;625
25.8;88;345
26.1;85;355
26.8;81;382
26.9;84;551
26.9;82;535
26.4;86;411
26.5;84;459
26.9;84;594
28.3;80;728
27.5;81;728
28.2;77;1067
28.1;78;668
27.5;77;481
27.7;80;353
27.1;85;352
27.1;78;527
27.2;78;441
26.2;79;313
24.6;83;259
24.8;83;280
24.9;82;417
24.5;83;571
25.6;82;376
25.7;83;350
25.1;83;257
24.9;87;235
25.3;86;240
25.7;84;224
25.7;86;254
25.8;85;266
25.8;87;198
25.8;86;197
25.8;87;194
25.7;87;137
25.5;88;103
25.2;89;75
25;90;46
24.7;91;5
24.3;92;0
24.1;92;0
23.9;93;0
23.7;93;0
23.6;93;0
23.4;93;0
23.3;93;0
23.4;92;0
23.3;93;0
22.9;94;0
22.9;94;0
23.1;94;0
23.2;94;0
23.2;94;0
23.1;94;0
23.3;95;0
23.5;94;0
23.3;94;0
22.7;95;0
22.7;94;0
22.6;94;0
22.3;96;0
22.3;97;0
22.6;96;0
22.3;95;0
22.5;96;0
22.9;96;0
23;95;0
22.9;95;0
22.2;96;0
21.9;97;0
21.7;97;0
21.4;97;0
21.2;97;0
21.3;98;0
21.1;98;0
21.3;98;0
21.7;98;0
22.1;97;0
21.6;97;0
21.6;97;0
21.6;97;0
21.4;98;0
21.8;98;0
21.9;97;0
21.7;97;0
21.7;97;0
21.8;97;0
21.7;98;11
22.2;97;32
22.5;96;56
22.5;97;78
22.6;97;96
22.3;97;77
22.1;97;57
22.1;97;42
21.9;97;36
21.9;97;39
22.2;98;88
22;97;91
21.8;96;78
21.9;98;91
22.2;98;148
22.3;97;137
22.4;97;163
22.9;96;231
23.4;97;209
23.4;96;149
23.8;96;245
23.8;97;227
24;95;189
23.9;95;167
23.9;94;229
24.7;94;456
25.4;91;420
26;90;576
25.8;88;478
25.9;88;534
24.6;90;261
23.8;95;195
23.9;94;240
23.9;94;209
23.7;94;133
23.8;95;159
24.2;92;222
24.3;90;226
24.9;89;240
24.8;90;171
24.7;91;150
24.4;92;105
24.3;93;120
24.2;92;96
23.9;93;37
23.7;94;13
23.6;94;4
23.4;95;0
23.3;94;0
23.3;95;0
23.3;95;0
23.3;95;0
23.4;95;0
23.4;94;0
23.4;95;0
23.3;96;0
23.4;95;0
23.4;95;0
23.3;94;0
23.3;94;0
23.2;94;0
23.1;95;0
23.1;95;0
22.8;96;0
22.7;97;0
22.7;97;0
22.5;98;0
22.5;98;0
22.5;98;0
22.4;98;0
22.4;98;0
22.6;98;0
22.8;97;0
22.8;97;0
22.8;97;0
22.8;97;0
22.8;97;0
22.9;96;0
22.9;96;0
22.8;97;0
22.8;97;0
22.7;97;0
22.5;98;0
22.5;98;0
22.5;98;0
22.6;98;0
22.6;98;0
22.6;98;0
22.5;98;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;1
22.5;99;1
22.4;99;10
22.6;99;26
22.7;99;43
22.8;99;49
22.6;99;33
22.7;99;56
23.1;99;122
23.3;99;177
23.3;97;170
23.4;97;192
23.7;97;207
23.4;97;102
23.4;97;116
24.2;96;335
24.9;93;409
25.2;91;293
24.7;93;252
25;91;250
23.7;96;206
23.4;97;229
23.4;96;261
23.6;97;275
23.3;96;201
23.5;96;230
23.6;96;206
23.4;96;169
23.7;97;226
23.7;96;226
23.9;95;273
23.7;95;207
23.5;96;217
23.6;96;250
23.5;96;218
23.4;95;174
23.3;95;237
23.7;94;259
24.1;94;279
24.1;94;230
24.2;93;247
24;92;197
23.6;92;133
23.7;91;87
23.3;92;50
23.3;92;42
23.1;94;18
22.9;95;3
22.8;95;0
22.8;96;0
22.8;97;0
22.7;97;0
22.7;97;0
22.7;97;0
22.7;97;0
22.7;97;0
22.7;97;0
22.7;97;0
22.7;97;0
22.6;98;0
22.6;98;0
22.4;98;0
22.5;98;0
22.6;98;0
22.7;97;0
22.7;97;0
22.7;97;0
22.6;98;0
22.6;98;0
22.6;97;0
22.6;97;0
22.5;97;0
22.4;97;0
22.4;97;0
22.3;97;0
22.2;97;0
22.1;97;0
22;98;0
22;98;0
21.9;98;0
21.9;98;0
21.9;98;0
21.8;98;0
21.8;99;0
21.8;99;0
21.9;99;0
21.9;99;0
21.9;99;0
21.9;99;0
22.1;99;0
22.1;98;0
22;98;0
22;99;0
21.9;98;0
21.9;98;0
21.9;98;0
22;98;1
22.1;98;10
22.1;98;23
22.2;98;33
22.3;98;68
22.6;98;79
22.8;97;92
23.1;97;110
23.4;95;176
23.9;92;254
24.6;89;412
24.8;87;306
24.9;88;262
25.6;88;385
26.4;83;513
26.1;83;486
26.9;84;581
26.7;77;706
26.1;87;450
25.3;89;228
25.6;87;296
25.1;87;276
25.8;85;402
26.4;82;584
25.8;82;346
26.1;84;491
26.4;83;435
24.8;89;336
24.8;91;405
25.2;89;429
24.8;90;272
24.9;92;209
25.7;88;470
25.7;90;291
25.9;90;247
26.6;84;286
25.8;86;87
25.1;89;102
25.1;90;160
24.7;90;96
24.6;90;76
24.9;89;176
24.8;87;174
24.4;88;98
24.1;89;73
23.9;90;37
23.7;90;22
23.5;90;6
23.4;90;0
23.4;91;0
23.4;91;0
23.5;91;0
23.5;91;0
23.5;92;0
23.5;92;0
23.3;94;0
23.1;96;0
23.1;96;0
23.1;96;0
22.9;96;0
22.7;96;0
22.6;96;0
22.7;96;0
22.7;96;0
22.8;96;0
22.9;96;0
22.8;96;0
22.7;96;0
22.7;96;0
22.6;96;0
22.6;96;0
22.6;96;0
22.6;96;0
22.6;97;0
22.6;97;0
22.6;96;0
22.6;97;0
22.5;97;0
22.6;96;0
22.5;97;0
22.3;98;0
22.3;98;0
22.2;98;0
22.2;98;0
22.1;98;0
22.1;98;0
22.1;99;0
22.1;99;0
22.1;99;0
22.2;99;0
22.1;99;0
22.1;99;0
22;99;0
21.9;99;0
21.8;99;0
21.7;99;0
21.7;99;6
21.8;99;13
21.9;99;28
22.1;99;27
22.4;99;36
22.6;99;63
23.3;98;79
23.9;93;83
25.2;91;381
24.5;89;283
24.9;95;204
25.3;92;303
25.7;89;529
25.2;89;233
25.3;90;131
26.3;84;673
26.9;84;575
26.3;85;234
27.4;82;838
28.6;77;1135
27.1;79;258
25.5;89;97
24.1;95;106
25;95;274
25.8;90;553
26.8;86;888
24.9;95;194
24.5;95;114
23.9;95;47
23.6;96;56
23.7;97;94
24;97;119
24.2;96;166
24.4;96;201
24.6;94;177
24.6;96;144
24.6;94;155
24.5;93;177
24.7;93;201
25.3;91;266
25.3;89;236
24.8;91;115
24.8;91;75
24.7;92;56
24.5;92;36
24.3;94;24
24.1;94;11
23.9;93;0
23.6;94;0
23.4;94;0
23.4;94;0
23.3;95;0
23.3;94;0
23.3;95;0
23.2;95;0
23.2;95;0
23.2;96;0
23.1;96;0
23;96;0
22.9;95;0
22.9;96;0
22.9;96;0
22.9;95;0
23;95;0
22.9;95;0
22.8;96;0
22.8;97;0
22.7;96;0
22.8;96;0
22.8;96;0
22.9;96;0
22.8;96;0
22.7;96;0
22.6;96;0
22.6;96;0
22.8;94;0
22.9;94;0
22.7;95;0
22.7;95;0
22.6;96;0
22.6;96;0
22.5;96;0
22.4;96;0
22.4;96;0
22.6;95;0
22.7;95;0
22.8;95;0
22.7;95;0
22.9;95;0
22.9;95;0
22.6;96;0
22.6;96;0
22.6;96;0
22.5;97;0
22.4;97;0
22.4;97;0
22.6;97;5
22.8;97;16
22.9;97;31
22.9;97;38
23;97;63
23.2;97;99
23.4;96;139
23.4;96;143
23.7;96;159
24.2;95;199
24.6;93;232
26.1;90;512
25.4;93;235
25.7;88;351
25.2;91;138
26;88;301
25.8;87;206
25.9;89;164
25.6;90;315
26.8;88;723
26.6;87;352
26.4;88;340
26.4;85;329
25.8;89;129
23.9;94;134
24.4;96;298
25.3;93;378
25.8;91;491
26.7;88;1006
26.1;90;425
25.1;95;238
24.8;96;270
25.8;92;779
26.6;89;685
25.5;91;280
25.5;92;444
25.2;92;285
24.6;96;159
24.8;96;262
24.9;96;199
24.9;94;168
24.8;94;143
24.5;94;105
24.4;94;83
24.3;94;62
24.2;94;35
24;95;18
23.8;95;1
23.7;95;0
23.6;96;0
23.5;95;0
23.4;95;0
23.3;95;0
23.2;96;0
23.2;96;0
23.2;96;0
23.2;96;0
23.1;96;0
23.1;96;0
23.1;96;0
23.1;96;0
23.1;96;0
23.2;95;0
23.2;96;0
23.4;95;0
23.4;95;0
23.3;95;0
23.4;96;0
23.2;97;0
23.2;97;0
23.2;97;0
23;97;0
22.9;98;0
23;97;0
22.8;97;0
22.8;96;0
22.7;96;0
22.6;97;0
22.4;97;0
22.3;98;0
22.2;98;0
22.3;98;0
22.3;97;0
22.3;97;0
22.4;97;0
22.6;97;0
22.6;97;0
22.4;97;0
22.4;97;0
22.3;98;0
22.6;97;0
22.6;96;0
22.6;96;0
22.7;96;0
22.7;96;0
22.7;96;0
22.7;96;4
22.9;96;24
23.1;96;35
23.3;96;50
23.7;95;48
23.8;94;71
24.2;93;129
24.6;92;174
24.9;91;211
25.6;90;311
26.3;86;580
26.6;86;635
27.3;83;663
27.1;86;728
26.6;85;478
26.5;87;270
26.5;86;358
28.2;82;1029
28.2;77;973
27.7;81;714
27.4;87;378
28.4;78;1096
28.6;79;1119
27.7;80;429
28.1;78;503
28.2;76;601
29.4;73;772
28.3;77;326
27;85;226
26.4;89;234
26.2;89;300
25.9;88;163
25.7;88;154
26.1;89;219
26.7;86;457
26.6;87;284
26.4;87;171
26.3;89;225
25.8;90;149
25.6;91;92
24.9;89;66
24.6;93;49
24.6;94;38
24.5;94;35
24.4;94;27
24.3;94;16
24.2;94;8
24.1;95;1
24.1;95;0
24.2;94;0
24.2;94;0
24.1;95;0
24.1;95;0
24.1;95;0
23.9;97;0
23.9;97;0
23.9;97;0
23.8;98;0
23.8;98;0
23.7;98;0
23.7;98;0
23.7;98;0
23.7;98;0
23.6;98;0
23.6;98;0
23.6;97;0
23.4;97;0
23.3;97;0
23.4;97;0
23.3;97;0
23.4;97;0
23.1;97;0
23.2;98;0
23.2;98;0
23.4;98;0
23.5;97;0
23.5;97;0
23.5;97;0
23.6;97;0
23.3;97;0
23.4;98;0
23.3;97;0
23.3;97;0
23.2;97;0
23.2;97;0
23.1;97;0
22.9;97;0
22.7;96;0
22.6;96;0
22.6;97;0
22.5;97;0
22.3;97;0
22.1;97;0
22.3;96;0
22.2;97;0
22;98;0
21.9;98;3
22;98;21
22.3;99;41
22.7;98;61
23;96;80
23.2;95;103
23.4;94;134
24.1;94;187
25;90;324
25.3;89;306
25.7;88;387
25.7;89;329
26.1;88;360
26.8;88;467
26.6;89;399
26.7;89;537
26.3;87;571
26.6;87;653
26.4;88;545
26.7;85;655
26.6;87;668
27.3;83;846
27.4;85;503
27.9;81;930
27.9;81;951
27.3;82;541
27.7;82;613
27.9;78;747
28.7;78;1098
28.1;81;612
27.9;78;327
28.7;76;396
28;82;297
27.9;81;270
28.7;78;836
29.2;76;814
27.7;81;207
27.7;73;289
27.3;77;175
26.5;79;114
26.4;83;99
26.3;83;80
26.4;83;77
26.1;85;64
25.9;88;50
25.7;89;40
25.2;89;20
24.8;90;2
24.6;91;0
24.3;92;0
24.2;93;0
24.2;93;0
24.1;93;0
24.1;93;0
23.9;93;0
23.9;94;0
24;93;0
23.9;94;0
23.9;94;0
23.8;94;0
23.8;94;0
23.7;94;0
23.7;94;0
23.6;95;0
23.3;95;0
23.2;95;0
23.2;95;0
23.4;95;0
23.4;95;0
23.4;95;0
22.9;96;0
23;96;0
23.1;96;0
22.9;96;0
22.8;96;0
23.1;95;0
23.5;94;0
23.2;95;0
23.3;94;0
23.4;94;0
23.3;95;0
23.2;95;0
23.1;95;0
23;96;0
23.1;96;0
22.8;96;0
22.8;97;0
22.7;97;0
22.9;97;0
23.1;96;0
22.8;97;0
22.8;97;0
22.2;97;0
22.1;98;0
21.9;98;0
22.1;98;0
22.1;98;6
22.1;98;20
22.2;98;31
22.7;97;45
23;97;63
23.4;95;85
24.3;92;135
25.2;89;169
25.9;84;356
26.3;84;553
26.4;84;463
26.6;83;440
27.5;82;631
27.7;78;806
26.8;83;505
26.5;84;177
23.6;92;117
23.1;96;103
23.2;95;61
22.9;96;63
23.1;96;60
23.2;96;64
23.3;96;93
23.5;96;114
23.1;97;63
23.2;97;68
23.4;97;75
23.3;97;106
23.3;97;119
23.3;97;107
23.4;97;157
23.8;94;278
23.9;95;230
24.2;95;193
24.1;96;179
24.1;96;162
24.2;97;146
23.9;95;162
24.1;95;181
24;96;112
23.7;96;68
23.8;95;62
23.7;96;35
23.6;97;23
23.3;98;12
23.2;98;5
23.1;98;0
23.2;98;0
22.9;98;0
22.9;99;0
22.9;99;0
23.1;99;0
23;99;0
22.9;99;0
22.9;99;0
22.8;99;0
22.9;97;0
22.8;98;0
22.8;97;0
22.8;96;0
22.9;96;0
22.8;97;0
22.8;97;0
22.9;97;0
22.9;97;0
22.8;97;0
22.8;97;0
22.7;97;0
22.6;98;0
22.5;98;0
22.6;98;0
22.4;98;0
22.4;98;0
22.4;98;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;0
22.4;99;0
22.3;98;0
22.3;98;0
22.3;98;0
22.2;98;0
22.2;98;0
22.2;98;0
22.1;98;0
22.1;98;0
22.1;98;0
22.1;98;0
22.2;99;0
22.1;99;0
21.9;98;0
21.9;98;0
22;98;0
22.1;99;0
22;99;0
22;99;1
22.1;99;35
22.2;99;72
22.3;99;35
22.2;99;13
22.3;99;20
22.4;99;29
22.3;98;37
22.3;98;15
22.3;98;12
22.3;98;11
22.3;98;12
22.3;98;18
22.3;98;22
22.4;98;48
22.4;98;74
22.3;98;53
22.2;97;30
21.8;98;27
21.8;98;38
21.9;97;43
22.3;97;71
22.6;97;112
